Horse,QuickComposite,ImpliedWinProb,ValueScore
Citizen Bull,0.46932969861928453,0.17758046614872364,0.2917492324705609
Neoequos,0.43333932527880675,0.0,0.43333932527880675
Final Gambit,0.42287342277442497,0.16352201257861615,0.2593514101958088
Rodriguez,0.43663086840306387,0.4025157232704402,0.03411514513262365
American Promise,0.5141383142506195,0.2554426705370101,0.2586956437136094
Admire Daytona,0.356014484072088,0.029452369995397992,0.32656211407669
Luxor Cafe,0.4422698006958358,0.23180592991913734,0.21046387077669848
Journalism,0.5267237592357188,1.0,-0.4732762407642812
Burnham Square,0.41036211528964567,0.150943396226415,0.25941871906323066
Grande,0.4296273877296344,0.16352201257861615,0.26610537515101823
Flying Mohawk,0.3567938702433682,0.051054384017757845,0.30573948622561037
East Avenue,0.3662515612143747,0.054888507718696425,0.3113630534956783
Publisher,0.4574010326209661,0.06792452830188668,0.38947650431907943
Tiztastic,0.4923354664578278,0.139622641509434,0.3527128249483938
Render Judgment,0.3895237829012855,0.2554426705370101,0.1340811123642754
Coal Battle,0.4490557531770647,0.06792452830188668,0.38113122487517803
Sandman,0.4301763655299428,0.7849056603773585,-0.3547292948474157
Sovereignty,0.4045394370694862,0.3547169811320755,0.04982245593741069
Chunk of Gold,0.3406638430538499,0.047439353099730186,0.2932244899541197
Owen Almighty,0.48554619817908284,0.024572180781044034,0.4609740173980388
Baeza,0.42607493143804465,0.012321909896033822,0.4137530215420108
